제시어,헤드라인,주요내용,발표일,출처(URL),중요도,대상 국가,점수,비고
관세,"日 아카자와 경제산업상, 미국에 “일본은 관세 10%로 유지” 요구 - 조선일보","日 아카자와 경제산업상, 미국에 “일본은 관세 10%로 유지” 요구&nbsp;&nbsp;조선일보","Sun, 08 Mar 2026 05:55:00 GMT",https://news.google.com/rss/articles/CBMingFBVV95cUxPeGVIdUg0NkMyNVI3OW5xeGp2cUlRV2p4QU5BS2FONEdqeXZLWG0tdkpoM0p3UGwzNzJTLTlua0w5eDRiQU5NdTFEaFpjT0ZOZGt2UVFsZHh5TktISFA3TG01WF9KMm53eE5Ud2Zja0NwYUNoRWhyVm50VkF1TXFqbEFhLVM5RXFweGJBelNiRlBQYVNnZjRrZFBSVzlpd9IBsgFBVV95cUxOaU5GZjByUGpzWWxwUmV3MmxJMU5qMFFuLWdCcTdUallSMFpuYjNnVTZmR2tuUm80X0E1Qzl5aXJlTXVmY1VsS3FZQkNNV0MtX1EwbmRqdTdrek9YWldZQTdzMUJkazZVaDlfbjdmaVpISF9VQlJXUWx2bmt4YUgxS1BEYnA2cE1STHV6bDFaUW90dFlRdHRCb3lWNzQwdWNhS0NoTk5WVVExX29TZlIzMnZR?oc=5,하,,5,
관세,"김정관 산업장관 “대미투자법 통과되면 美 관세인상 없을 듯"" - 전기신문","김정관 산업장관 “대미투자법 통과되면 美 관세인상 없을 듯""&nbsp;&nbsp;전기신문김정관 “美 관세인상 없을 듯…석유 최고가격제 준비 마쳐”&nbsp;&nbsp;조선일보김정관 “美서 한국 관세인상 없을거라고 들어”&nbsp;&nbsp;동아일보","Sun, 08 Mar 2026 11:19:12 GMT",https://news.google.com/rss/articles/CBMibEFVX3lxTE5yYll4bzZiTHU4RUp1YTF5eEp0U3dtV3puYkhCV21Cc1NmcG1HdXIydnBsaHM0NWtObGpEMUxlSmRuOUowYnRrdXdNWFQ5RjdaRndEOXJRaEx1TkZuUXpTekxaOTBESzNqQUZ5Yg?oc=5,하,,6,
관세,"美 세관 ""IEEPA 관세 환급 당장 못해줘...간소화 시스템 만들 것""[이상은의 워싱턴나우] - 한국경제","美 세관 ""IEEPA 관세 환급 당장 못해줘...간소화 시스템 만들 것""[이상은의 워싱턴나우]&nbsp;&nbsp;한국경제미국 “상호관세 246조 원 환급 시스템 45일내 완성”&nbsp;&nbsp;KBS 뉴스(설명자료)정부가 美 IEEPA 관세 환급 관련하여 책임을 방기하고 있다는 내용은 사실과 다름&nbsp;&nbsp;대한민국 정책브리핑","Sun, 08 Mar 2026 07:01:04 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTFBEcjA1WE1xOUU3YkdKbTVmRzRmcEhyWjB2b21tWGR6VFBLWnRjcTlkdmVtdnJoNUhRcHhsOU5iUnBybjN0Unc4Z1FPc29ZZFVlRTcta3BBTXhXd9IBVEFVX3lxTE5LZExUbXU1NDdGYXJYdXgzZmFTNmU4Q2tBOW5BOEdFQ1hhLXZSMmxVclNvcHF0cVd4Mm1zRWlIRjBaRm5TMXNlSlJseFRsVGhmYU1KTA?oc=5,중,,12,
관세,수출로 버티는 韓 경제…관세·유가·반도체 등 ‘5대 리스크’ 다가온다 - edaily.co.kr,수출로 버티는 韓 경제…관세·유가·반도체 등 ‘5대 리스크’ 다가온다&nbsp;&nbsp;edaily.co.kr,"Sun, 08 Mar 2026 02:00:03 GMT",https://news.google.com/rss/articles/CBMigAFBVV95cUxPYTdWV1dJUXpqNXRaeFBKekU4LWpKNDNLZzFqV1lGRUNYMU82MXB4RktlTExzYjYxYVFBaUNJdktsOF8wcHRfTUJQX2VnRHJXcFZrUlQ1dVRxcFByN0wzU3ZhQTRaM3NZcTA1dzFuSXgwUnh6c2JsZ3VCNUJ2c0hpZQ?oc=5,하,,5,
관세,관세 불확실성 속 통상 투톱 동시 방미...무역법 301조 총력 대응 - 아주경제,관세 불확실성 속 통상 투톱 동시 방미...무역법 301조 총력 대응&nbsp;&nbsp;아주경제,"Sun, 08 Mar 2026 06:57:23 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTE1oM2FpaHdRak9ZRU1WelJSMC0wODcwZDZTNlBLUW1VZWpidFgySnktb3J0Y1BKdlliYVAwdURxSTliZGM0b0ozaVFic3ZGMmRmNE1ycGVGTGwxUdIBWEFVX3lxTE84ZzhtRUZ5NTNBNTBEYlVuQVFUXzB4OWpEcmZrMk1JWkxJamR6Tjd2aXlPX0ZIXzZVQjRPcGNxMUdZQ0xESWhXR2t0eVJKanVFaUR0dUFlQm4?oc=5,하,,5,
관세,"로슈(ROG.SWX) ""진단 사업, 美 관세 리스크 지속""…중국 보복 관세까지 '이중 부담' - 네이트","로슈(ROG.SWX) ""진단 사업, 美 관세 리스크 지속""…중국 보복 관세까지 '이중 부담'&nbsp;&nbsp;네이트","Sun, 08 Mar 2026 22:55:00 GMT",https://news.google.com/rss/articles/CBMieEFVX3lxTE9CY1hHekwteDdMdXpoUGVSLUpIRWw4eUp1bUVkZ3MwZlNJbEo4bFRVVm9obEhtOXQ1ek1mckl2bVlPbUphazVnOG93bGpWQl9JSEtsbVc4aVZpcjNzODd1aTBsaTdib0dmTmF3SDhveGlzX1pDNy1BVA?oc=5,하,,6,
관세,"산업부 장관 ""美, 대미투자특별법 이행시 관세 인상 없다고 말해"" - v.daum.net","산업부 장관 ""美, 대미투자특별법 이행시 관세 인상 없다고 말해""&nbsp;&nbsp;v.daum.net","Sun, 08 Mar 2026 21:21:07 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTFBySDVTYzdPMnB3VkxIN2hSVzV5TGRPdThFdzJ3d0xsMUk4eDAwMG9vcjU2QkQtckk5clV2Y2xxMlFhekstSWdKcFdwMGdWREE?oc=5,하,,5,
관세,"김정관 ""미국 관세 인상 없을 것 같다고 들어"" - MBC 뉴스","김정관 ""미국 관세 인상 없을 것 같다고 들어""&nbsp;&nbsp;MBC 뉴스","Sun, 08 Mar 2026 21:10:51 GMT",https://news.google.com/rss/articles/CBMiekFVX3lxTE5Tb3NVLWthcTZXamczTlh6LWtiWGU2cl9KZ2owdWk5WTY4bHR2VlRRVi1wWUp0bDl6Q243azV6dHFKTHNlM01Vc1RpQ3luX2hnNmNWdDBrMTVJTDRsVEZocl9NcXZwbm5KdS1vbFZ6OFB2UldPSzFna0pB0gF6QVVfeXFMUHQ5RnZMbG9udUpnY0hLV3pQaWpTRmRham1uZ0RwNHVpcDFfbmx0Y0psMEItOC1nTDhXWk9aY3A3U29yeEI5OW1tbzFnRFgxV3JoRVZwMUJrV2UwQkVjRUY0RXpJWE1SWEZid3ZJbTR2a1Z6cXNUUmRzaUE?oc=5,하,,5,
관세,"로슈(ROG.SWX) ＂진단 사업, 美 관세 리스크 지속＂…중국 보복 관세까지 ′이중 부담′ - 알파경제","로슈(ROG.SWX) ＂진단 사업, 美 관세 리스크 지속＂…중국 보복 관세까지 ′이중 부담′&nbsp;&nbsp;알파경제","Sun, 08 Mar 2026 22:51:18 GMT",https://news.google.com/rss/articles/CBMiXkFVX3lxTE5pRDcxM2syMWczQWhqWERFRnY2RmZJaXdjbTlTLUllOUMtRDZ2Z1hRMGhhY0NNQXdOMU5fNmZLQ0xRTVc5SnZRTEJpM3BLYmdXMEo1eEp2RmRGSnAxWHfSAW5BVV95cUxPX2JGSHFuNXJVd2RQVmRoQU90ZUNKVmhNcFZPa19JWFNUa0pudEExSDRlUi0wM0d2bWZEMkxQenZRRE1Hdm45amlqUXdXQWFVc1VtVnlyeFlUVjIyRUp5cGlaRF84THptckVhNGJFUQ?oc=5,하,,6,
관세,"`귀국` 김정관 산업장관 ""미국 관세인상 없을 것 같다"" - 국제신문","`귀국` 김정관 산업장관 ""미국 관세인상 없을 것 같다""&nbsp;&nbsp;국제신문","Sun, 08 Mar 2026 23:22:11 GMT",https://news.google.com/rss/articles/CBMikwFBVV95cUxOZEUtNDRkYzlxazUzQkFDQmFROE5ZWlFnc2FqY1UtcVVNbWdTQkE5OV9wVGI5dTdCR1F4S001UFlSVlI5QWc0Zi1kVGdMZzRoTm85VW9OZE93X0VMU1RzM21HSjduVXZhRE1fNTZtNnkyLTBHbHY3Ti03UF8xZDh0OU5ad0JONlR3RnR0cDJST1I2RG8?oc=5,하,,5,
관세,"산업장관 “미국, 관세 인상 없을 것 같다…쿠팡 301조 조사 여부 예단 어려워” - 한겨레","산업장관 “미국, 관세 인상 없을 것 같다…쿠팡 301조 조사 여부 예단 어려워”&nbsp;&nbsp;한겨레","Sun, 08 Mar 2026 11:36:00 GMT",https://news.google.com/rss/articles/CBMickFVX3lxTE84SXRJTVV4TWg3MmVoRzFlU3FtcDd5UmQ3TjdILWlVSDFFUnhKeVJMMElHRU9mZDYwSUxLQnJwR2kyTGowQlJIUzNueFRyUFdaaXZrZWNJdk02OWJhZEt3aXZGZVZxU3VLdnNQdTVIXzN6Zw?oc=5,하,,5,
