제시어,헤드라인,주요내용,발표일,출처(URL),중요도,대상 국가,점수,비고
관세,"이란發 에너지 대란에...베트남 정부, 석유제품 수입관세 철폐 - v.daum.net","이란發 에너지 대란에...베트남 정부, 석유제품 수입관세 철폐&nbsp;&nbsp;v.daum.net","Mon, 09 Mar 2026 23:01:27 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE9pbTZzT21tamJKeU90anVYc0QxM3JGYmszNVRjU1o0b1l0VDRVNjQ5cUVCNGVjUnlYZmFCd0J3eFMtOFdFUm9sT2VxelRBU3c?oc=5,하,,6,
관세,"관세청, 중동 수출입기업에 관세·물류 긴급 지원 - 전체 | 카드/한컷 | 멀티미디어 - 대한민국 정책브리핑","관세청, 중동 수출입기업에 관세·물류 긴급 지원 - 전체 | 카드/한컷 | 멀티미디어&nbsp;&nbsp;대한민국 정책브리핑","Mon, 09 Mar 2026 05:03:48 GMT",https://news.google.com/rss/articles/CBMiiwFBVV95cUxPbUZqanV3MnE0MEkza0lySXJvRXdhS18wdEl6aUU4YmVOSXBWRGlJT3JQUzg1d3dhSGtMNXdWWE44T1JLWG55TF9VNWxUTGpEOTduSXVsWGlleHpNUjJiWHpGSmhfaEZIU3d2RlcxcWZoc3labzViTzB1ek5BUlNjanJMRG4tc05XZXpZ?oc=5,하,,5,
관세,"""AI 기반 관세 행정 고도화""...투이컨설팅, ISP 착수 - 지디넷코리아","""AI 기반 관세 행정 고도화""...투이컨설팅, ISP 착수&nbsp;&nbsp;지디넷코리아","Mon, 09 Mar 2026 10:56:35 GMT",https://news.google.com/rss/articles/CBMiVkFVX3lxTE9jdF9XNmV0cDhCeDE3bFBEend5VUxTd3ZiWG5lNW9XYzhEUktndEg5bmNJSDJtODl0NWE5eWJha2lxNFA4Y1VjMTdENFBldjk2b3pWSEl3?oc=5,하,,5,
관세,美관세 위협 진정될까…8부 능선 넘은 대미투자법 어떤 내용 담았나 - 연합인포맥스,美관세 위협 진정될까…8부 능선 넘은 대미투자법 어떤 내용 담았나&nbsp;&nbsp;연합인포맥스,"Mon, 09 Mar 2026 07:51:10 GMT",https://news.google.com/rss/articles/CBMicEFVX3lxTE9odndVc1BYTGY3NUJQZVVpckdYZ1VId1lpcTNKanlNT25yUHlPcmxYaklkazZnMEtNY3ZDVXg1M0lHSlZTNE9odl8wZEtNVmRiam04WUhEV2NvQTZ2RlpUNjNlLWtwRTZQVG9KVXlxeS0?oc=5,하,,5,
관세,"美 기업들, 트럼프 ’1500억 달러 불법 관세’ 환급 거부 당해 By The Guru - Investing.com 한국어","美 기업들, 트럼프 ’1500억 달러 불법 관세’ 환급 거부 당해 By The Guru&nbsp;&nbsp;Investing.com 한국어","Mon, 09 Mar 2026 03:46:00 GMT",https://news.google.com/rss/articles/CBMicEFVX3lxTFA3c3NIWXNGUTBVXzk1SFZudm1jRVJKNVI3bDhieUpOa2dLcEE2Mzh2WWlVOG9ObUlYS1ByWlVhYTF3bnFmLXNxaWZSWjk4dldLTElWRGlhclZuREZyY3Jna21sRjBOMkNLWkhPYUhOYkM?oc=5,하,,6,
관세,"글로벌 제약사 로슈 이사회 의장 “미국 관세 폭탄, 진단 부문 직격탄…이중과세 처지” - 글로벌이코노믹","글로벌 제약사 로슈 이사회 의장 “미국 관세 폭탄, 진단 부문 직격탄…이중과세 처지”&nbsp;&nbsp;글로벌이코노믹","Mon, 09 Mar 2026 20:49:28 GMT",https://news.google.com/rss/articles/CBMiiAFBVV95cUxQbHdhTkdvbHZIdFNwaGt3YlJDei11dHo4MG9qeW50WlFBVHYwUWtNNE9DVmJUNVpwY1U4dVdXZWRveUFLaGZHZ3lKbi1CQUpGZEFPNVctbWF2OGFWNFNKZEowc0VjRXZOWHhGMHI0NzdKWktaTnA0UDhWdk51S1dWeVYyZDdDWW1z?oc=5,하,,5,
관세,[관망경]오일 쇼크 덮친 산업계…美 '관세 압박' 유보는 불행 중 다행 - 전자신문,[관망경]오일 쇼크 덮친 산업계…美 '관세 압박' 유보는 불행 중 다행&nbsp;&nbsp;전자신문,"Mon, 09 Mar 2026 05:22:17 GMT",https://news.google.com/rss/articles/CBMiTkFVX3lxTE01bUh1ekV5VWcwamhWM0x3YUV5djFPWldRTENKZHllQ0VtN0xNWGM2SFpFdFk0QktvVXZfbVJVVzNwdElaeWVwRmFTVC1idw?oc=5,하,,5,
관세,관세 인하 호재 뒤 '전쟁 변수'… 국내 에스테틱 고심 - 히트뉴스,관세 인하 호재 뒤 '전쟁 변수'… 국내 에스테틱 고심&nbsp;&nbsp;히트뉴스,"Mon, 09 Mar 2026 21:04:00 GMT",https://news.google.com/rss/articles/CBMia0FVX3lxTE8xaWoySGpmQzF1dmJIYnQyU2JpU20tam9PdkJCNFRuUlByRk1rdDhNNDBIYnA3amx5V3g2QWFqa29rT0d5U2tJNHVva3REQzI0SDY1Tm9FOXQ2X21ublVYbldJVXhPLWU4eE9N?oc=5,하,,5,
관세,"김상훈 ""野, 국익·민생 위해 결단…대미투자법 통과로 美관세 리스크 줄어"" - 뉴스1","김상훈 ""野, 국익·민생 위해 결단…대미투자법 통과로 美관세 리스크 줄어""&nbsp;&nbsp;뉴스1","Mon, 09 Mar 2026 21:45:00 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTE5kelRVSE1DOTFraENCMU42aHhGVzI1eEx1aWtJN3hBWUhLa1NtSEVucFZYcTRVOThiNzJlRkJQaExNX3d0cnpmZDB2MlZuc1NFNHN0NlJORURoZw?oc=5,하,,5,
관세,대미투자특별법 특위 통과…美 관세인상 불확실성 걷히나 - 노컷뉴스,대미투자특별법 특위 통과…美 관세인상 불확실성 걷히나&nbsp;&nbsp;노컷뉴스,"Mon, 09 Mar 2026 20:00:00 GMT",https://news.google.com/rss/articles/CBMiUkFVX3lxTE9STUhaS25oVjVjQk9QTGJfNnhza1cwelhEdk5jeTFMbEFsVWtaSmJuWnVpUWFGWXg1dGU3dl9BcnFXY2ZEcXo2cWp5RmhnQ3paRnc?oc=5,하,,5,
관세,정부가 특정 석유 제품에 대한 수입 관세를 0%로 인하했습니다. - Vietnam.vn,정부가 특정 석유 제품에 대한 수입 관세를 0%로 인하했습니다.&nbsp;&nbsp;Vietnam.vn,"Mon, 09 Mar 2026 15:26:25 GMT",https://news.google.com/rss/articles/CBMikgFBVV95cUxQNXNqbTZlY1FCSmlQRFktLTR6elMxeHFkb3Zoa3B0Zzdldjloc2dlNnFHNzgyaElPVzl1T3BlRm5HOW9VbjdjWXV1NHVsQU9wNlBlWFkyMDhIZS1vQlhuUXNES0d3QV9ycTd4c3NtbDJUYzI3bnFCRE5OLS1FTW0tMzIwTXZwd1lfM0Vxd1RLZnhQZw?oc=5,하,,6,
관세,1천200억원대 짝퉁 판매조직 잡고 범죄수익 압수 - 한국세정신문,1천200억원대 짝퉁 판매조직 잡고 범죄수익 압수&nbsp;&nbsp;한국세정신문,"Mon, 09 Mar 2026 22:30:00 GMT",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE1LSDNxOWJTMGJRaXlnRlRBMXFfZklsSzIzNnBieXNkMnZCYVpVQTkxYk8yU2FZdmdGYmJnMFRkaEpsd3Z5YTF3dUJ3bHRXZ2FnS2U5UGpTbWlSUkRtSks3NkI0YnJrVE0?oc=5,하,,2,
관세,(설명자료)정부가 美 IEEPA 관세 환급 관련하여 책임을 방기하고 있다는 내용은 사실과 다름 - 대한민국 정책브리핑,(설명자료)정부가 美 IEEPA 관세 환급 관련하여 책임을 방기하고 있다는 내용은 사실과 다름&nbsp;&nbsp;대한민국 정책브리핑,"Mon, 09 Mar 2026 11:37:35 GMT",https://news.google.com/rss/articles/CBMib0FVX3lxTE1ZNm5oc3hUcjQwN3VpaDN0cHkwRHJ2a1UtLWR6RzdtVHJEeUpvX2xBVWI5bzBZT0dONndBRXNTNGNJSlVndGtDeGlsNlVULWdrMWppUDRKaWRtUjc3WDFQOU1WRDAwVlk3V0N4R1IwZw?oc=5,중,,11,
관세,특정 석유 제품에 대한 수입 관세를 0%로 인하합니다. - Vietnam.vn,특정 석유 제품에 대한 수입 관세를 0%로 인하합니다.&nbsp;&nbsp;Vietnam.vn,"Mon, 09 Mar 2026 14:51:58 GMT",https://news.google.com/rss/articles/CBMigAFBVV95cUxOaUk4SnBUdGFjWGhUdkJFQThsUV9QMUhMeVJNbTdaMzVRaER0Z2tGUzdISV9YcHg5NW9ITmJjVnBEaU5EODB3aDFsZ0J5bkZrZ3V2dVBmbHhzMjNzNFVwVEcwa3k1NVNSZUZaY29JLVB0akVvYnhPUDJJOEUyOXV0Ug?oc=5,하,,6,
관세,오늘부터 다양한 휘발유 및 석유 제품에 대한 수입 관세가 공식적으로 0%로 인하되었습니다. - Vietnam.vn,오늘부터 다양한 휘발유 및 석유 제품에 대한 수입 관세가 공식적으로 0%로 인하되었습니다.&nbsp;&nbsp;Vietnam.vn,"Mon, 09 Mar 2026 15:41:47 GMT",https://news.google.com/rss/articles/CBMiogFBVV95cUxObE1VRXl6ZjdIMFc0R0lKMDJoZkUtU0w2YmtJNnNNa2t1TjFIQlJLWjZ3NGNWbjVEcjJ5dmFSSVpKLVpfOEZtUGE4WThlRlN1eXpMSXdrVUE2UF9QNmU2M1N4amJRYjZaaTRfZXpnMUVnbmFxV3JLazFQYzRSZGFhU1hlNVluMXhHdndiVUNIN01VNV84ZWdTemhrWjl1a0w3OXc?oc=5,하,,6,
관세,"관세청, 올 2월 관세인에 이도건 주무관 선정 - 日刊 NTN","관세청, 올 2월 관세인에 이도건 주무관 선정&nbsp;&nbsp;日刊 NTN","Mon, 09 Mar 2026 04:40:26 GMT",https://news.google.com/rss/articles/CBMiakFVX3lxTFBfQlBtTkhrRVpaSnpyTmxPSm5oWGtISUJSeEtITnBEZy1Lcml5VzFjUk93NWY3VDlEZkg2ZEdpNjRJZW5ocS1Mem95NXp5U2NBNy1HVzFEWmlDdEZCTVIyckZVSzFzYnF1Snc?oc=5,하,,5,
관세,"관세청, 2월 관세인에 ‘이도건 주무관’…1200억원대 위조 명품 판매조직 '일망타진' - 세정일보","관세청, 2월 관세인에 ‘이도건 주무관’…1200억원대 위조 명품 판매조직 '일망타진'&nbsp;&nbsp;세정일보","Mon, 09 Mar 2026 05:24:07 GMT",https://news.google.com/rss/articles/CBMibEFVX3lxTE1CekJka21WMEUtbWJTWGNtbjk0SmRFczhqcHNWdlpTYWxIZDlBdERIX09qMlJHbU81MU9zTjBWZ2MwN1VfWXNhLXBscUt3elRCOXRGOGVlSkhRSUZCMy0zS0xjNFhWSHM4ZHV2Rw?oc=5,하,,5,
FTA,"전북FTA통상진흥센터, 무역실무 교육으로 수출 역량 강화 - 전라매일","전북FTA통상진흥센터, 무역실무 교육으로 수출 역량 강화&nbsp;&nbsp;전라매일","Mon, 09 Mar 2026 08:19:00 GMT",https://news.google.com/rss/articles/CBMiUkFVX3lxTFBaLWgxQ0cyXzBiNU8yN0JPdjNtVWpRTmphQzdLY29ITENzdWRjRWJBTnhvbUJiMXdOX1huRGlsdEJMSEhJNU9HZzNpUXdPM1JfMnc?oc=5,하,,4,
