제시어,헤드라인,주요내용,발표일,출처(URL),중요도,대상 국가,점수,비고
관세,"현대차그룹, 美관세에도 폭스바겐 누르고 영업이익 글로벌 '톱2' - v.daum.net","현대차그룹, 美관세에도 폭스바겐 누르고 영업이익 글로벌 '톱2'&nbsp;&nbsp;v.daum.net","Tue, 10 Mar 2026 20:52:45 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE9ZajgwSjVpSnpyamdHMmZrazRGUDhIZkpNWXp6Skhra2xBUklSQUk0MDZoZnFkU1doQ0FHWGdSZ1hQU1BGVnJXaXlCS1BqQ3M?oc=5,하,,5,
관세,"올 1~2월 車수출 44만대, 전년비 1.6% 성장…""美 15% 품목관세 견뎠다"" - 뉴시스","올 1~2월 車수출 44만대, 전년비 1.6% 성장…""美 15% 품목관세 견뎠다""&nbsp;&nbsp;뉴시스","Tue, 10 Mar 2026 04:53:39 GMT",https://news.google.com/rss/articles/CBMiYEFVX3lxTE42THV5MElybkFCYUIzblpodlYzblJfNlpqVEpTYXI4WGk5ZjU3NDVCRnhnM3I1cTZTY2VQdUNZZDR6RENxZ054bnB3SWJxM2FvXy1QaGJUUU9ZT1ZkZWdRLdIBeEFVX3lxTFBMNlZ5ZzhsdmdhQTNRRVZmeW42RFcxN0pTem8zakQ5U1VoSTg4UzhJZlNsX0Fnbkhhc0w3QVQ0Z25YSjlpTlQ4UWFhMXg4VzA1ZUsxbkVncGlKXzFHM1dDdnFhbmxUUllhZDJHeHNuMTdONGcyckVwRQ?oc=5,하,,5,
관세,관세·환율 리스크 고조⋯ 차기 한은 총재 ‘국제통’ 무게 - 브릿지경제,관세·환율 리스크 고조⋯ 차기 한은 총재 ‘국제통’ 무게&nbsp;&nbsp;브릿지경제,"Tue, 10 Mar 2026 06:01:00 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTE9rSURLQzhiWVU0UmZ0T2lyWU9id3VicUhJMWx4NXVtUEExQzVPWS1IVGdwbHQ1VHYtQUtKX0c2TGN0b29HbWxsMG82QVA3U0hPdWRQQW5yNWRLUQ?oc=5,하,,5,
관세,전기차 가상 엔진음 장치 무관세로…수입 관세 부담 줄어들 듯 - 마켓인,전기차 가상 엔진음 장치 무관세로…수입 관세 부담 줄어들 듯&nbsp;&nbsp;마켓인,"Tue, 10 Mar 2026 01:03:24 GMT",https://news.google.com/rss/articles/CBMic0FVX3lxTE1ESDFCYUhHUllmRTNGYVRuazF4YnhlSEhrX1ZaZGRRS3NVM1hKdGcwN2Z0RnI2N1lROThMUHltVDBUdnlrTFNoSUlKMGd5UEFCTzViakFublZoa2pVOThqdDk4ZHhnNVFPejFDSnc3czctaVE?oc=5,하,,5,
관세,"관세면세 '차량용 LED 램프, 전기차 가상 엔진음 장치' - v.daum.net","관세면세 '차량용 LED 램프, 전기차 가상 엔진음 장치'&nbsp;&nbsp;v.daum.net","Tue, 10 Mar 2026 01:03:16 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE9ydllyX3BoNDN0UF9OaWNpcVFHMEMtQzNKbTFWSUZGd2FZSFk1VDMzXzQ1alRTMDVvVVJrRkp4RkhCOFNOTmlRSjJfQVFoY3M?oc=5,하,,5,
관세,전기차 가상 엔진음 장치 ‘확성기’로 분류…무관세 적용 - 이투데이,전기차 가상 엔진음 장치 ‘확성기’로 분류…무관세 적용&nbsp;&nbsp;이투데이,"Tue, 10 Mar 2026 00:42:00 GMT",https://news.google.com/rss/articles/CBMiVEFVX3lxTFBmZjhycHVoaFpBR2ZjN1VnY2h2WDVINnV6Vm14bklTVXdtNndzN2k3NHZmZFZPNHRjYU1WelhSZlVRcTVESmVVcnR6YU16dXQydklsOA?oc=5,하,,5,
관세,"中, 1∼2월 수출 21.8%↑ '깜짝 실적'…美 관세압박 뚫고 급증 - 연합뉴스","中, 1∼2월 수출 21.8%↑ '깜짝 실적'…美 관세압박 뚫고 급증&nbsp;&nbsp;연합뉴스","Tue, 10 Mar 2026 03:28:06 GMT",https://news.google.com/rss/articles/CBMiW0FVX3lxTE1DT1JiR1dNV1hORi1sYi11VGgxa1JBcHgxTHVZXzhzWHF4Umh1RkhzWWxIT29BMHM4M2NhdTBBLUo5c054bE13VjhzUm5hdXlYMkN6T1lBOFduZFXSAWBBVV95cUxPcVlOMmpOQXFsdS1nOUFzRkJhb2JUQUplWFJMTk40bkl2T29CTVhvYVBObDA2R2ZSVC1GRm9wQ0ZTSzAzQ0VpTFhEcDJWcEYtWmpidjJYSXYzWlNfa0F1akI?oc=5,하,,5,
관세,"중국,1∼2월 수출 21.8퍼센트↑…미 관세 압박 뚫고 급증 - KBS 뉴스","중국,1∼2월 수출 21.8퍼센트↑…미 관세 압박 뚫고 급증&nbsp;&nbsp;KBS 뉴스","Tue, 10 Mar 2026 04:02:00 GMT",https://news.google.com/rss/articles/CBMiW0FVX3lxTE1md2dFZkNFVEwtTjVudTZHc0JmUlpab0tRZjVPVlFNdVozYjA1VHl6NTNjZ1NBNXpaSnZRWTBscTkwcS1zUkpVMEtxLW1Qa2pSVGR5Q240MkgyUkE?oc=5,하,,6,
관세,트럼프 관세 압박에도…中무역 날았다 - v.daum.net,트럼프 관세 압박에도…中무역 날았다&nbsp;&nbsp;v.daum.net,"Tue, 10 Mar 2026 06:40:25 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTFBWWWJFV0MyMjk1UmRIQ2stQmc3dFktWTFJV0d3bVJxR0RDRmZyYi1xV2p0bzJvWE5FOXlUWmdPWmpUMGQ4ajRQWWh6LU5xVW8?oc=5,하,,5,
관세,가격상한제·주4일제·관세철폐…유가폭등에 세계 각국 비상대응 - 뉴스1,가격상한제·주4일제·관세철폐…유가폭등에 세계 각국 비상대응&nbsp;&nbsp;뉴스1,"Tue, 10 Mar 2026 02:04:40 GMT",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5QYlFzaE5ieWt1eTA5UzlnWmN5SWREWjV0XzNwcV9EWkdtcm5YVVlwUGNfcnR0SWhSZlYzWG5LOWw3TFhPYXlIQlhNZ3AxS1pwckVaS2NwTUNwVUFFdjRjZ0trTG9sbFE?oc=5,하,,5,
관세,美 식품기업 임원 45% 최대 가격 위협요인 관세 - 약업신문,美 식품기업 임원 45% 최대 가격 위협요인 관세&nbsp;&nbsp;약업신문,"Tue, 10 Mar 2026 08:38:00 GMT",https://news.google.com/rss/articles/CBMie0FVX3lxTE5jdWZmaGRTeE1VNC13WnBfZ0RWdTBJaGgtcUxzVi1wM3NXVXpEbE1sMDRYOVVxd05pRjAyal9HWnUzU2E2b1ZEMnV1ekV2ZWx5RFFUcElrRUlzTlg5cGxBUnNFSHc5Ri1WVDFva3BjdWl5VVZfSTdIQ1FhRQ?oc=5,하,,5,
