제시어,헤드라인,주요내용,발표일,출처(URL),중요도,대상 국가,점수,비고
관세,"트럼프 ""韓·日 지키는데 안도와…中 이란 지원시 50% 관세""(종합) - v.daum.net","트럼프 ""韓·日 지키는데 안도와…中 이란 지원시 50% 관세""(종합)&nbsp;&nbsp;v.daum.net","Sun, 12 Apr 2026 22:40:26 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1oZUFyTlhva19iaG9jdngzRGprMFBtS085TnhMdURBNXNMTU96Qk5zZTY3SlVTaEdJcjVsM2pfcXliaVZlMG5ZejZ4QXp5S3M?oc=5,하,,5,
관세,"트럼프 ""이란, 돌아올 것…中, 이란에 무기 주면 50% 관세""(종합) - 뉴시스","트럼프 ""이란, 돌아올 것…中, 이란에 무기 주면 50% 관세""(종합)&nbsp;&nbsp;뉴시스","Sun, 12 Apr 2026 17:05:47 GMT",https://news.google.com/rss/articles/CBMiYEFVX3lxTFBfWlQ5YTBfd2hpazNhSXFrZ2FELWZuaHpGbkZzekJoV0dWQkI3RHBNMFZSZEVLUHJhSVJFZ3Z2eENENmFTOWN5V1N1ZTFvcTZacEgxVk1welIyN0MtYTUxNdIBeEFVX3lxTE5tWDhWOUVjd0NsNHhuNWdBa0dGM0FxZWVtWkpKZ091SndOV3B5UXNYMGJUcDFYdWZnd2E3bWgyRzRYcV8wVFhuM3pZbXJpd0NGQ202X3JGbkI4aE8wcjYzemR1UUg3SGx2bWxtdDRtZXhWb01VTk1QcA?oc=5,하,,5,
관세,"트럼프 ""호르무즈 정리 오래 안걸려…中 이란에 무기주면 50%관세"" - 연합뉴스","트럼프 ""호르무즈 정리 오래 안걸려…中 이란에 무기주면 50%관세""&nbsp;&nbsp;연합뉴스","Sun, 12 Apr 2026 15:52:34 GMT",https://news.google.com/rss/articles/CBMiW0FVX3lxTE9VbkNjOGNZUHJvTkdEQUhOQkdCSjloMUU3WmEtT1Q3d2REMHI5VFNCRUt0QTFKQ0x2V01FSkdoWU40WFpIcTdYT1JGeWpCTW5XNUlyMXZ0dHp6VmvSAWBBVV95cUxPWmU2ZS10eDQ5eXduaWVGN2MxeGJORDRjc0NuVVhCTTVHc3R1RFdteUZMamU3U0d1eGVIcUdOa204V1VQSmQ1dzJGYnBJNnFwbnVEcXhXWUlOMlJCTng1N0E?oc=5,하,,5,
관세,"""노트북 100만원↑""…메모리 급등·관세 영향에 전자제품 가격 줄줄이 인상 - 뉴시스","""노트북 100만원↑""…메모리 급등·관세 영향에 전자제품 가격 줄줄이 인상&nbsp;&nbsp;뉴시스","Sun, 12 Apr 2026 00:00:00 GMT",https://news.google.com/rss/articles/CBMiYEFVX3lxTFBYMDRpQWZMRkMzV05jRFBGSlF2UDRjczNVMnk0Rzh1WEN2RXpsckVCS3ZjOGwxa1NGVXphajBReFZ6MUswS3lBTTR2VnBwVkc5cmlzS1N0QTVFM1dPaENia9IBeEFVX3lxTFAtc0dFLTEtbjRqSWJlSWtuSWN1dGZRcURIbnF5Y3J6X2NGYkdfU0tlY2E1U2x5azA2bTU0MEx5RWUxdTJ4T29LN3NsazdqQlhYU2ttTVhxNk5aVHRDb1c3dFpFOEVPb2hROVcwX3Zta0wwbHc1Y0JwZg?oc=5,하,,5,
관세,트럼프 관세·중국 굴기에…유럽 제약 왕국 흔들린다 - 마켓인,트럼프 관세·중국 굴기에…유럽 제약 왕국 흔들린다&nbsp;&nbsp;마켓인,"Sun, 12 Apr 2026 02:34:28 GMT",https://news.google.com/rss/articles/CBMic0FVX3lxTE02Ui11Q1FDOTNRd1ZOeWw0NHU0VkR5Wkh5LUpRNmxvR3d0OTdjZ2NsMUhraDQwZ21KMHFxaHNWNGZ5RGVqRVBCYmRNNnc1U0k3ajBfczdtMGpScTNwNTRkeVpYdlItMmt6VDY4NmtLaHM4MWs?oc=5,하,,6,
관세,미국이 관세로 적 만들때 중국은…“아프리카 53개국 전면 무관세” - 매일경제,미국이 관세로 적 만들때 중국은…“아프리카 53개국 전면 무관세”&nbsp;&nbsp;매일경제,"Sun, 12 Apr 2026 13:48:31 GMT",https://news.google.com/rss/articles/CBMiUkFVX3lxTE5XNU1jTjFyb1NKbmVRSWUyVk9SS3Z2OTM4eFpxTk92ZGxpbl96SzNNMlJKYXI1ck43SERJLXpKUFZ6OV9KNjRHa2x5OEZ5Sm9kbHc?oc=5,하,,6,
관세,인천 자동차 부품기업 한국GM 의존과 미국 관세 위협 심각 - 인천투데이,인천 자동차 부품기업 한국GM 의존과 미국 관세 위협 심각&nbsp;&nbsp;인천투데이,"Sun, 12 Apr 2026 03:00:00 GMT",https://news.google.com/rss/articles/CBMicEFVX3lxTFBLclhPTkM0blpsb1BxbHJ4Zk14bi1zc2hKaXZoMHR3dWxndnNMZkxxcFotRlpQMDJybHpueGh5ZnRVeFYtTEFESmR2MTdfNTNCNHMwR2FUaXN4M29aU1RqXzNEZWRCMlNtUXZCSjl2RE8?oc=5,하,,6,
관세,"트럼프 ""韓·日 지키는데 안도와…中 이란 지원시 50% 관세""(종합) - 뉴스1","트럼프 ""韓·日 지키는데 안도와…中 이란 지원시 50% 관세""(종합)&nbsp;&nbsp;뉴스1","Sun, 12 Apr 2026 22:38:47 GMT",https://news.google.com/rss/articles/CBMiWEFVX3lxTE9WejFSVTJDNXBtWlFQVmlWTl9pTDB5ZGk0UUJjbW11TVJQMmVOU0U3MzcwY3NDazFkRVVIYWNLcDBacjFZdE9RRU5KcmItYzBzbHBDekdZZGI?oc=5,하,,5,
관세,트럼프 관세 무력화한 중·이란 '초크포인트' 전략 분석과 전망 - 글로벌이코노믹,트럼프 관세 무력화한 중·이란 '초크포인트' 전략 분석과 전망&nbsp;&nbsp;글로벌이코노믹,"Sun, 12 Apr 2026 21:51:14 GMT",https://news.google.com/rss/articles/CBMiiAFBVV95cUxNX0JvaS1pelh4VktYMmQzeFRkbkY4aGs1R3duYzJ1QWNTeTA2dVZfQzloU1M0MjNjeTBSSG5laXFBSnBxVUZsTTRCOF9FRE9oYy1iQmNEZHhYVGg2R3pfYXlfTUk0UWlIRXhNa1pQdXJTaTdlY0dBbl9MQnAxREJSdXZBT2pucWcz?oc=5,하,,5,
관세,"[Issue+] 상호관세 1년, 농기계 업계의 현황과 전망은 - 농수축산신문","[Issue+] 상호관세 1년, 농기계 업계의 현황과 전망은&nbsp;&nbsp;농수축산신문","Sun, 12 Apr 2026 22:00:00 GMT",https://news.google.com/rss/articles/CBMibEFVX3lxTE82WWozV09KRUdzcGNuV2RDQjZubXFOVFpFVFNqYklYakJKQ1YwRDhUdDJmWkhVcXVqVkVqX2t3cFBSLVplY1BXUEFXeTBmNW45M0h3d3FDaEpoWFBMRlF1UW1ZRWd0a3pwRHB1ZA?oc=5,하,,5,
관세,초크포인트가 관세 압도…경제전쟁 판도 바뀐다 - ebn.co.kr,초크포인트가 관세 압도…경제전쟁 판도 바뀐다&nbsp;&nbsp;ebn.co.kr,"Sun, 12 Apr 2026 20:46:56 GMT",https://news.google.com/rss/articles/CBMiaEFVX3lxTE1yVUVNUS1TQ2llQ01vVWhJZTQxbHFyRzZiLVo1LWoxMWxDU2drSlh4cVBremY5V3VPN3BZdjhwdmpNenpPREtHSXRIRXVOVFZfY2RmXzd6SzR1Q1RjdGdFbWQxbWowVE5P?oc=5,하,,5,
