제시어,헤드라인,주요내용,발표일,출처(URL),중요도,대상 국가,점수,비고
관세,에이피알 이어 달바글로벌도 '트럼프 관세' 환급 신청 - v.daum.net,에이피알 이어 달바글로벌도 '트럼프 관세' 환급 신청&nbsp;&nbsp;v.daum.net,"Sun, 19 Apr 2026 21:21:07 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1HUXNKQXNBdUFkRllQYkRKTXZLb3VnanlnLUVpdjhXelpIV3phWUQ0WW51aGd0Z0dkbjdpRzRhWC1wUzNPR3RDV2s5SHoydms?oc=5,하,,5,
관세,"캐나다, 중국산 EV 관세 ‘100% → 6%’ 파격 인하… 저가 전기차 상륙 임박 - 글로벌이코노믹","캐나다, 중국산 EV 관세 ‘100% → 6%’ 파격 인하… 저가 전기차 상륙 임박&nbsp;&nbsp;글로벌이코노믹","Sun, 19 Apr 2026 20:40:00 GMT",https://news.google.com/rss/articles/CBMiiAFBVV95cUxOLWlmTmFJdFdUYk5HNnVJc0hFNGpjS3UweWJaQmprOHBCaGRxamFJbS0wYnRSdUhhS1BGcFZmTmNnR01fckRpckRNU3lGWHBrenFNbnVOZER0V2liaHB1Zk1Cb1dWYWNmSkVCX1dCQnphYWpaQl9TUHdfdEZKbE81d2FvVzFJRUQw?oc=5,하,,6,
관세,작년 철강 경영실적 부진 확연…건설 침체·관세 여파 '직격탄' - 철강금속신문,작년 철강 경영실적 부진 확연…건설 침체·관세 여파 '직격탄'&nbsp;&nbsp;철강금속신문,"Sun, 19 Apr 2026 20:30:00 GMT",https://news.google.com/rss/articles/CBMiaEFVX3lxTE8wSFFtbDhDR3hjRE9adDFKRXI3TFRMelFCVThuYUNmN3YtbGgwSmg0azNQdVhsNXVMTEtwRUk1RjluNXFkRGg0WEJ2bUhLaVhVdjdRcFBSX01acU1iMnZieXBlQ2h2dGJm?oc=5,하,,5,
관세,"“관세에서 정책으로”…美 통상 압박, 韓 산업정책 정조준 - 매일일보","“관세에서 정책으로”…美 통상 압박, 韓 산업정책 정조준&nbsp;&nbsp;매일일보","Sun, 19 Apr 2026 03:00:00 GMT",https://news.google.com/rss/articles/CBMiZEFVX3lxTFBhZzkyM2hPVkJtUFNNc1NRQUludTcyQ0Rnd2xrNjBaLU1HcnBTQW4tak1zcDh4RnRlS0hHVF9UaWEyOGVtUWRISkRNd2wtNWJwNmdkMWd3a3JMcXdCUlU4T082dXU?oc=5,하,,5,
관세,[PSK칼럼] 제약산업 산책 - ﻿한미 FTA - 메디파나뉴스,[PSK칼럼] 제약산업 산책 - ﻿한미 FTA&nbsp;&nbsp;메디파나뉴스,"Sun, 19 Apr 2026 20:59:00 GMT",https://news.google.com/rss/articles/CBMia0FVX3lxTFAzc2ZSTnEzZ1Izcm9Fc0J0ZHF4a2Y5LXQ1VWJsOExWdkRkWU5NWDRHN3c5WnNWQ1VMR0FHRlJJUzZDS25Idm5hQ0NpRFBFX2RRYkYyYWdHeG5QQzF4YnpqWHNVODRIUWoxVVM0?oc=5,하,,4,
관세,[금융권 말말말] 이억원 “중동발 비용·관세 ‘이중 압박’…철강업 3종 금융지원” - 신아일보,[금융권 말말말] 이억원 “중동발 비용·관세 ‘이중 압박’…철강업 3종 금융지원”&nbsp;&nbsp;신아일보,"Sun, 19 Apr 2026 01:00:48 GMT",https://news.google.com/rss/articles/CBMicEFVX3lxTE92VVRwVlhHMmc5aHpEdHVoN043SnJ1UktaNHZUVEc5SmRiM1hQdWRWZjVnbmd6RUdQT2o1R2ZpSC12eGVhNVlueVhNMzZYUlRyeWVwX3BIdUlLQ2FFMl83aHd4QW9uQmotYUdLUXo3a1o?oc=5,하,,5,
관세,[0420주요일정] 트럼프 상호관세 환급 시스템 1단계 가동 등 - 인포스탁데일리,[0420주요일정] 트럼프 상호관세 환급 시스템 1단계 가동 등&nbsp;&nbsp;인포스탁데일리,"Sun, 19 Apr 2026 21:00:00 GMT",https://news.google.com/rss/articles/CBMidkFVX3lxTFA4VE1DdnRQQ0gxcXlxNWROaGllZlZ3d3pyVmJmTHlVRHcxdGdBbHFYcHdpcGx0M0tYb2NOa0U1SVdURG5McUx6b1VIM0Nna3MtV3JCRDdqYlRRMUVST3J6ZWgtSl80RFQxMDQzYnJuNVkzLWRkeHc?oc=5,하,,5,
관세,에이피알 이어 달바글로벌도 '트럼프 관세' 환급 신청 - 뉴스1,에이피알 이어 달바글로벌도 '트럼프 관세' 환급 신청&nbsp;&nbsp;뉴스1,"Sun, 19 Apr 2026 21:20:00 GMT",https://news.google.com/rss/articles/CBMiXEFVX3lxTE9kTVRFbEFRelNGUmhqMUMyX3dNWUNhSy01cnF4a09UdTNLRlpYdlB3bVJ5dGhWekh6anhxVjBnOGE1bV9CQ3F0ZW5hY1pwTUM2SVdhdkpfYWRwTlp1?oc=5,하,,5,
관세,"‘중동發 오일쇼크’ 베트남, 석유제품 수입세 한시적 면제 연장 추진…6월까지 - 인사이드비나","‘중동發 오일쇼크’ 베트남, 석유제품 수입세 한시적 면제 연장 추진…6월까지&nbsp;&nbsp;인사이드비나","Sun, 19 Apr 2026 23:00:00 GMT",https://news.google.com/rss/articles/CBMibEFVX3lxTE5kd0NBLThlRG1DRzhqQS1nTTBCV3BKNWhybHVuQk1hUDEtdDBnTFZCM3VBLXdZaFpnSDJWUGFudWpoZ0FUVkpVb01SUU1aWnhKMnBNbm1KSlJySHZkWnFVdGhTSzRjUmZjVjBCcQ?oc=5,하,,2,
관세,이번 제안은 휘발유와 경유에 대한 수입 관세를 6월 30일까지 0%로 유지하는 것을 골자로 합니다. - Vietnam.vn,이번 제안은 휘발유와 경유에 대한 수입 관세를 6월 30일까지 0%로 유지하는 것을 골자로 합니다.&nbsp;&nbsp;Vietnam.vn,"Sun, 19 Apr 2026 06:47:51 GMT",https://news.google.com/rss/articles/CBMikwFBVV95cUxQUjl0c0VtbjJtRFZXaTRNaTRjWHBvLXRkekZJaHZiLVVaR05KaURqNGtxM1lIVFdKRUdXdnQ1TzV3WnkyZlpWVnZObHRSaUhTSzdna210ZmR3S1dQLWoyUzNZTWFFNjNEWF95V3k3aEJBcEc4b3diUzdXT2F6VzJtY3F3NXVneW90NU5veG9CbnJkVkE?oc=5,하,,6,
관세,휘발유와 경유에 대한 우대 수입 관세를 6월 30일까지 0%로 인하하는 방안이 제안되었습니다. - Vietnam.vn,휘발유와 경유에 대한 우대 수입 관세를 6월 30일까지 0%로 인하하는 방안이 제안되었습니다.&nbsp;&nbsp;Vietnam.vn,"Sun, 19 Apr 2026 06:21:25 GMT",https://news.google.com/rss/articles/CBMikAFBVV95cUxNSnBVa1U2aVlnSWNPYmIzbng3b2NGaDVDbW9xcVF5UndwX1dVeG5uT0N1MXQ2WmY2SVNkMThqNXNsV3dYSFJBNllaQUduZHBreDMtS3VOMWp2X1ZxeHd5SHRaT2ZwQmozYTB2eU44bHU4NFV3YVEtdWdwTklNYXdnYWhGejhYbng5VWZoamo4VUQ?oc=5,하,,6,
