제시어,헤드라인,주요내용,발표일,출처(URL),중요도,대상 국가,점수,비고
관세,"엄광열 영월산업진흥원장, 한국관세학회 선정 ‘관세대상’ 수상 - v.daum.net","엄광열 영월산업진흥원장, 한국관세학회 선정 ‘관세대상’ 수상&nbsp;&nbsp;v.daum.net","Mon, 01 Jun 2026 21:50:00 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTFB4b1I0aHNlM2tENjhkbk9faEc5M0dZUVg1S1hSeE1DUUdYLXcxcHhsMUQ1MUdTdFY4eUJ2OWpSOW56WFNKZU96UGZzM3BtNFE?oc=5,하,,6,
관세,"미 법무부, ""소송 제기한 회사에만 관세 환급"" - 뉴시스","미 법무부, ""소송 제기한 회사에만 관세 환급""&nbsp;&nbsp;뉴시스","Mon, 01 Jun 2026 23:55:19 GMT",https://news.google.com/rss/articles/CBMiYEFVX3lxTE5PbmRQbUk0SnhoOHB6cGJjNUdYVGwzWXNVMjRsRHlMazExams5a2ROR3psNVJEVFZFbndVZVh6NG5xSDBnaVJMNVFPRkhhRndKYXlkcTVSeW1tck10Vi1SNNIBeEFVX3lxTFB2cWpOT2NaMGFkZ21YSmtab254dGEwUTVvWDhWUEt6UkNkTDhZUjU2T3ZubkRtZEJIZ2FULXBYN3VxdnlsdkJvS1VrWUt4WFFnbnpZRGo5b3h2bVpnOWdkLS01Z01ReFB5MV9kRGVTM2w4WGkyU0F4Tg?oc=5,하,,5,
관세,정부 출범 1주년 관세행정 핵심성과 발표 - 대한민국 정책브리핑,정부 출범 1주년 관세행정 핵심성과 발표&nbsp;&nbsp;대한민국 정책브리핑,"Mon, 01 Jun 2026 02:00:00 GMT",https://news.google.com/rss/articles/CBMid0FVX3lxTE5aQzh5R3VFU1VmaFIxS0ZjZFRpZ3Q2cmdhRWxmWlNDSDRwRmhoNVoxeG5GRTA0X3MyLTZPS2ZrMEFEVlhNVnIwbnowTm1uTkFJOUZDOVE3d1Z2UGQ3MGVfd0NTZlNBeVAtcjNVRTc0Mm5kUEduWWxB?oc=5,하,,5,
관세,[특징주] EU 철강 관세에 노조 임단협까지…철강주 상승장서 약세 마감(종합) - 연합뉴스,[특징주] EU 철강 관세에 노조 임단협까지…철강주 상승장서 약세 마감(종합)&nbsp;&nbsp;연합뉴스,"Mon, 01 Jun 2026 07:04:26 GMT",https://news.google.com/rss/articles/CBMiW0FVX3lxTFBZa3BmODRmV1hUREwtbnpQdDVLNVdYLVp5bmxYTWlVWmFyejUyMlhqWUNiRm1NZS16c3ZjTXRjMWE0LVFBQzJVbjAxVzE5T1VHSm5PbkZVcjZHY2PSAWBBVV95cUxQTUxQN3MwT3k1VDZaOWdVZUJVMUlUdW1pMVIwT3cta3pGSlRONDVsb2RLc3ZVQnNObE5NMTU4RUpJQktGS29KVWhhd1IyREdfVUlvVTlhS3NWVVBlNzN5aVY?oc=5,하,,5,
관세,EU 철강 관세에 노조 임단협까지…철강주 약세 - v.daum.net,EU 철강 관세에 노조 임단협까지…철강주 약세&nbsp;&nbsp;v.daum.net,"Mon, 01 Jun 2026 01:57:08 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1hdndlTHIwb2xqckF3WFhUdDFEVjJ0QWRsdlMxak96ZDY2ZTlKZmlZVWY1Xzl2VDJ6VTR5ZG5YTUpoU01ZbVNvOHNTZk5NQU0?oc=5,하,,5,
관세,관세 가상계좌 납부 금융기관 '우리은행'·'우정사업본부' 추가 - 머니투데이 - 머니투데이,관세 가상계좌 납부 금융기관 '우리은행'·'우정사업본부' 추가 - 머니투데이&nbsp;&nbsp;머니투데이,"Mon, 01 Jun 2026 02:31:01 GMT",https://news.google.com/rss/articles/CBMiakFVX3lxTE0ydmxBVEYxMGtFbDgwZW0wWm41SkRHenNtQlUxOHFCbGJma1ZiUmpKaVcwWUJwZzV2dWNHVTNFaXVlZ0FyZE04cFItSEZSSGlQemF2T3JHVlZRRWV6alQ5YUFULXdlRk8yVkHSAW9BVV95cUxNamdBb0RsM2ltSDF2WkhiZlluT3lTVjl3Qm91YW40RU41OU5NTl9nWkdXWEd1UFlvMnRhU1Btbk5ydjg4ZDJUdk05c25reVRFczBJeDBCcHpaRWlHazNmQkVUS0traWdKbldRZGQ2eGM?oc=5,하,,5,
관세,"일본, 韓·中·대만산 철강 제품 반덤핑 조사…""추가 관세 여부 판단"" - 머니투데이 - 머니투데이","일본, 韓·中·대만산 철강 제품 반덤핑 조사…""추가 관세 여부 판단"" - 머니투데이&nbsp;&nbsp;머니투데이","Mon, 01 Jun 2026 09:08:32 GMT",https://news.google.com/rss/articles/CBMiaEFVX3lxTFBJYkZ0WG1zcjh5RlJXcFlMV3RmR3AwUlQ0SWtDVXVGcVd1SEFCRTkyT3BsOWpwVjRRVGdCQVB6ZDJvbWduU0RMTzBBSnBfUXJ2TnUyT202Vmd2VkRnd29tMjljaU0xNHdk0gFuQVVfeXFMTUdSelAydFd4M21TelpyS01obnNKTDduWmlldGdQWWlqU21zczVSM1dKYVR1c3pfUmQwR0tHR0VISERwRGphUmJmUkZpZVd2S05Zbm50R1FGOVZ2dkM2LWthbzZLX1o0T19PdERCZ3c?oc=5,하,,5,
관세,"철강 보호냐 조선·건설 원가 부담이냐, 일본·중국산 저가 열연강판 반덤핑관세 여파 촉각 - 비즈니스포스트","철강 보호냐 조선·건설 원가 부담이냐, 일본·중국산 저가 열연강판 반덤핑관세 여파 촉각&nbsp;&nbsp;비즈니스포스트","Mon, 01 Jun 2026 07:14:43 GMT",https://news.google.com/rss/articles/CBMic0FVX3lxTE9wMjNvU2J6Y3BweGhQbU1Lam55LUNqVlB0blRtSzgtaHJvTG9qN1FtZk9NRnVqakVhWllDZTBiUnp2N0tja2h2R3ZfWjFCOC1oSzVDY1Q4b3Q0TllKTTNTMG9iQWtKdmp6Q0R0Ynlkd3BlRjg?oc=5,하,,6,
관세,"일본 철강 빗장 또 걸렸다…한국산 강재, 2년 연속 반덤핑 타깃 - 서울경제","일본 철강 빗장 또 걸렸다…한국산 강재, 2년 연속 반덤핑 타깃&nbsp;&nbsp;서울경제","Mon, 01 Jun 2026 08:33:47 GMT",https://news.google.com/rss/articles/CBMiZkFVX3lxTE5GWm1wRGU0WUxpeGNsTllseXhPVTVTOUh5TUtwSDUyZUFKUlM3S05QUjZUOC1aMmtFeEVQT3pJMjZzVUJrNHhKWHNrdjRLUWRJTTdYVDV3TWlwa1dxbExmdkZqTTlJQdIBU0FVX3lxTE5OVEx2c21nREZXLVFCN0tjMzYwUzEwMjVIZDR4Z3JxRVU4UXVwOUdPSXF4a2o0TkhhS2ZqMW5BVGFPQm8ycFlFZ1pnRVhpX2dMaGFv?oc=5,하,,2,
관세,"[NNA] 대만, 관세 인하 대가로 대미 투자 확대 요구받나 - 아주경제","[NNA] 대만, 관세 인하 대가로 대미 투자 확대 요구받나&nbsp;&nbsp;아주경제","Mon, 01 Jun 2026 07:18:39 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTE9EUlRHdE0wMUlJdkhqa2NxcVB4NVFZdDVNNUdoTVF4RkFUMk5fU1llc3R2VkJuUC12LU5oOGpxbUtJT1F0NnlGSVJ3dmw4Y2IzUGJ1TXI4VTMzUdIBWEFVX3lxTE0taFRpQzRXMV9MYjNTeHgwYUEyTFNrYjAteExJN05ERkRmdmtZaWtvSEZLRGhaeXpaam9Yb3YxX1lJT1N3V2hQQVFvSFUta1BDMDBoaWNtZFE?oc=5,하,,5,
관세,"EU 관세 회피 전략?… 中 기업들, 유럽 마주한 모로코에 공장 세워 - 조선비즈 - Chosunbiz","EU 관세 회피 전략?… 中 기업들, 유럽 마주한 모로코에 공장 세워 - 조선비즈&nbsp;&nbsp;Chosunbiz","Mon, 01 Jun 2026 01:44:00 GMT",https://news.google.com/rss/articles/CBMingFBVV95cUxPYTdqUDlicE52V3NTdmg0TzRQYkx6bWtIckQ3MmFyWTluaDctYndYMWQzbkxlX1ltUEQ2Nk1mRWk4T3RuS3NlNFQ3Uk5qWVo5bjlKVGlNQWhvdWFNOWx5Z2ZMeDVEU3dFMktjWUpFSXh0YnNZUnVhUGl0ejFOTFNXZlk5ZTV5Rm5CaFhNY0xidnF3dGtiLWU2aWdtenNuZ9IBsgFBVV95cUxNMEY5dXJxdkJGN3ZOX1J2UUpiN2JsUllzanVTbThoZE5UMGo0YlhNa1RUYlpFbWFSWDF1a01tTHhpU0U1N29WLXJEWGZXUm9KZG11OEg0TG5mZTlsZGNOWkFpaDEtZEFTS0wtMnVvb21HU1IxYU1XV2FGZjh3cUpyaVZteEE1cm15WnVQaW04eVZYdXd6Z2JhZ2J4UHQ2UnV6dEw2aTNZVjhlcmloeV9NNEJ3?oc=5,하,,5,
