제시어,헤드라인,주요내용,발표일,출처(URL),중요도,대상 국가,점수,비고
관세,'K-스틸법' 오늘부터 시행…전기요금·EU 관세는 변수 - v.daum.net,'K-스틸법' 오늘부터 시행…전기요금·EU 관세는 변수&nbsp;&nbsp;v.daum.net,"Tue, 16 Jun 2026 21:49:00 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE5Id2d0WnNJb0FHak9vS0pkSTdDb05ZdFNYMnpVY2gzVVZGNmRhbGs0cUl1Uk1ILTdBR3V2ZEpaSVZYZG1jYk5UQlVEc21WcHM?oc=5,중,,7,
관세,"EU 탄소관세 본격화, ’데이터 꼼수’ 제동 걸린 中 철강업계 By EBN - Investing.com 한국어","EU 탄소관세 본격화, ’데이터 꼼수’ 제동 걸린 中 철강업계 By EBN&nbsp;&nbsp;Investing.com 한국어","Tue, 16 Jun 2026 23:42:00 GMT",https://news.google.com/rss/articles/CBMicEFVX3lxTE5nWXlWbzVlcHZDdGNOcmZyeXVhTl93NzFHb1dMTzZNQnpyTmhtbF9RX2JpXzFoV05GSlFpemdzYVRtZ1l6MDlzN1NvcGVxRHcwR01Od3hIQkhpdGNBY3FuUkZHMzVsRVhwNVJ4bWFkUEw?oc=5,하,,6,
관세,"K-관세행정, 아·태·아프리카 세관 공무원에게 전수한다 - 뉴시스","K-관세행정, 아·태·아프리카 세관 공무원에게 전수한다&nbsp;&nbsp;뉴시스","Tue, 16 Jun 2026 06:15:41 GMT",https://news.google.com/rss/articles/CBMiYEFVX3lxTE5xNTRtSG96a1VjdllSUjIxWWt1UW9JWHU4M19HLWcyY1BkcnhaQmxSRU9HSURCQ1l1M1JLbUR4X3A2TGFnN1E4TWpwTlpZbnFsSEE5SlpvRmtRNWJwalJ1Z9IBeEFVX3lxTE9mbm04c3M2V2JXcUZjUnpCRi1UR1NtN0dmNHNmMko1eXhDV3FSbmVNSGtfTWZsMnZOZnZHMnBqM2lMWDUzcWgwNWRrSml4dUJwTVF6TUJqZ0FBOW5wWlZGaHdmTlpKS1J1VGRBcTVtLXdWbW9OSVJKdw?oc=5,하,,5,
관세,"산업부, 통상추진위서 '미국 강제노동 관세' 대응 전략 논의 - 연합인포맥스","산업부, 통상추진위서 '미국 강제노동 관세' 대응 전략 논의&nbsp;&nbsp;연합인포맥스","Tue, 16 Jun 2026 06:49:04 GMT",https://news.google.com/rss/articles/CBMicEFVX3lxTFBJNkttQjJkT2FhbFhrdW82T3JPM2p2eTU5ZEZRSHJZc2hjVk1FUEhLTVU0aGl2OW5DdDE3dTE4ZFhGMGJlRHNLMnJRM195RlpRMnBQLW9vOVJJSFRIOHdUQ1VUdmtQd0Q1eGh5VGJ5ZU4?oc=5,하,,5,
관세,"유럽의회, 美 무역협정 승인…트럼프 마감시한 맞춰 - 매일경제 마켓","유럽의회, 美 무역협정 승인…트럼프 마감시한 맞춰&nbsp;&nbsp;매일경제 마켓","Tue, 16 Jun 2026 13:16:18 GMT",https://news.google.com/rss/articles/CBMiUkFVX3lxTE8xZWJoMTBWZ0JwS2JEa0ZWUWF2ZUV5b2tlc2ZwdFdhOFVKOWxsX0NyN0puMXd4TkNXcExaUnlucmZGMmFTSDJGX0lreVFrTFhlemc?oc=5,하,,1,
관세,부산항발 '컨' 운임 7주간 상승세…관세정책 불확실성에 미주 노선 급등 - 뉴스1,부산항발 '컨' 운임 7주간 상승세…관세정책 불확실성에 미주 노선 급등&nbsp;&nbsp;뉴스1,"Tue, 16 Jun 2026 02:06:04 GMT",https://news.google.com/rss/articles/CBMiX0FVX3lxTFA1SXlTd05uODBUN0QyQVBTbjBEN0hRM0Q2OE5CSTdlcnFFUlU1Z3VCclRIVWI5a2hUdEltVTNCR2RoSkZSbEgzTlF2LVE0c0hyRlAwc3hLcnA4Z1VjQk5j?oc=5,하,,5,
관세,"정부, 미국 무역법 301조 관세 예고에 범부처 대책회의 - SBS 뉴스","정부, 미국 무역법 301조 관세 예고에 범부처 대책회의&nbsp;&nbsp;SBS 뉴스","Tue, 16 Jun 2026 02:26:00 GMT",https://news.google.com/rss/articles/CBMiakFVX3lxTE1kN1RSYUt1T3ZiRHYyd0RSMGxqTVNQWHhjcE1kVDZKNnF6M0hwTWxqVDJoYWZZbnR6dFl5MVN1dXdrUlg5bFFmVXJpTzBud1RBSUJWckN1UjM0V0NQZmY5T3NJVHdERFZIa1E?oc=5,하,,5,
관세,"여한구 ""무역법 301조 조사…'韓美 관세합의 이익균형' 유지되게 할 것"" - 뉴스1","여한구 ""무역법 301조 조사…'韓美 관세합의 이익균형' 유지되게 할 것""&nbsp;&nbsp;뉴스1","Tue, 16 Jun 2026 02:00:00 GMT",https://news.google.com/rss/articles/CBMiX0FVX3lxTFBEaFdjOGtRdTNsd1JIcGQ4RHh4QU00OWQ4YWRPN1JYenU3bFlmWG1NeUUxa1lzZThjd2FYZ3FfT0hMOWdEYnNsaEVzNEx5S3ZZakUtOFNRVGlEWEF5QXM0?oc=5,하,,5,
관세,"정부, 美 무역법 301조 관세 예고에 “기존 합의 따른 이익 균형 유지 대응” - v.daum.net","정부, 美 무역법 301조 관세 예고에 “기존 합의 따른 이익 균형 유지 대응”&nbsp;&nbsp;v.daum.net","Tue, 16 Jun 2026 06:36:00 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE9GVVVRd21KcXhhaWZwcHpKOUprNjVJVEk0clFMRzlwUlEycjdPWk5uQjNSbnRJUFBmT0Q1SHFuVVVldXVoaVJLY1NxT1Y2Skk?oc=5,하,,5,
관세,"EU, 中 생산 타이어 관세 ↑...국내 3사, 공급망 재편 대응 - 아이뉴스24","EU, 中 생산 타이어 관세 ↑...국내 3사, 공급망 재편 대응&nbsp;&nbsp;아이뉴스24","Tue, 16 Jun 2026 07:28:53 GMT",https://news.google.com/rss/articles/CBMiTEFVX3lxTE81UC00WUxZMjB1ZG9oWXlvOUhFYnR6UTQ3T2dqMVlrRFZobTUwbzU4Yk1hT0NBYmM1eDBobUZXckFYNUowWEo3T0M3MW8?oc=5,하,,5,
관세,"관세법인 스카이브릿지, 베트남 수출입업무 전략기지 확보 - 조세금융신문","관세법인 스카이브릿지, 베트남 수출입업무 전략기지 확보&nbsp;&nbsp;조세금융신문","Tue, 16 Jun 2026 09:13:15 GMT",https://news.google.com/rss/articles/CBMiY0FVX3lxTE1JbWIxQzk5bTdlUURLMEkwX2VLOHFOZkJnci1QeDNrVWs2RXVoaklQRVRkaU0xSEhRLXhFRTNQc0I1QnhqTXZ3S1QxU2t1cUh5Z091Qnc0OXpQbHUxTjZvaEFnWQ?oc=5,하,,6,
